0.01,-481.971770113648,-20061.7720666143,43773.4588216451,-0.0240197660642037
0.02,-481.968232464892,-20061.771706355,43773.4597163423,-0.024019590259287
0.03,-481.964694817854,-20061.7713460944,43773.4606110425,-0.0240194144544497
0.04,-481.961157046641,-20061.7709858195,43773.4615057777,-0.0240192386434356
0.05,-481.957619277146,-20061.7706255432,43773.4624005159,-0.0240190628325009
0.06,-481.954081509371,-20061.7702652654,43773.4632952573,-0.0240188870216459
0.07,-481.950543869207,-20061.7699049991,43773.4641899699,-0.0240187112171267
0.08,-481.947006230764,-20061.7695447314,43773.4650846856,-0.024018535412687
0.09,-481.943468468145,-20061.7691844494,43773.4659794362,-0.0240183596020705
0.1,-481.939930707245,-20061.768824166,43773.46687419,-0.0240181837915335
0.11,-481.936393073958,-20061.768463894,43773.467768915,-0.0240180079873325
0.12,-481.932855316496,-20061.7681036078,43773.4686636749,-0.0240178321769545
0.13,-481.929317686646,-20061.767743333,43773.4695584062,-0.0240176563729125
0.14,-481.925779932621,-20061.7673830439,43773.4704531723,-0.0240174805626936
0.15,-481.922242306209,-20061.7670227663,43773.4713479097,-0.0240173047588106
0.16,-481.918704555621,-20061.7666624744,43773.4722426821,-0.0240171289487507
0.17,-481.915166806753,-20061.766302181,43773.4731374575,-0.0240169531387704
0.18,-481.911629185498,-20061.7659418991,43773.4740322042,-0.024016777335126
0.19,-481.908091440067,-20061.765581603,43773.4749269859,-0.0240166015253047
0.2,-481.904553822249,-20061.7652213183,43773.4758217388,-0.0240164257218193
0.21,-481.901016080257,-20061.7648610193,43773.4767165267,-0.0240162499121572
0.22,-481.897478339982,-20061.7645007189,43773.4776113176,-0.0240160741025744
0.23,-481.893940727321,-20061.7641404299,43773.4785060798,-0.0240158982993276
0.24,-481.890402990485,-20061.7637801266,43773.479400877,-0.0240157224899041
0.25,-481.88686538126,-20061.7634198348,43773.4802956454,-0.0240155466868162
0.26,-481.883327647862,-20061.7630595287,43773.4811904487,-0.0240153708775517
0.27,-481.879790042076,-20061.7626992341,43773.4820852233,-0.0240151950746229
0.28,-481.876252312115,-20061.7623389252,43773.4829800328,-0.0240150192655173
0.29,-481.872714583875,-20061.7619786149,43773.4838748455,-0.0240148434564914
0.3,-481.869176983244,-20061.761618316,43773.4847696294,-0.0240146676538012
0.31,-481.865639384332,-20061.7612580156,43773.4856644164,-0.0240144918511905
0.32,-481.862101661248,-20061.7608977011,43773.4865592383,-0.0240143160424032
0.33,-481.858563939881,-20061.7605373851,43773.4874540634,-0.0240141402336953
0.34,-481.855026220233,-20061.7601770677,43773.4883488915,-0.0240139644250669
0.35,-481.851488628198,-20061.7598167617,43773.489243691,-0.0240137886227743
0.36,-481.847951037881,-20061.7594564543,43773.4901384934,-0.0240136128205613
0.37,-481.844413323392,-20061.7590961326,43773.4910333309,-0.0240134370121716
0.38,-481.840875610619,-20061.7587358095,43773.4919281714,-0.0240132612038613
0.39,-481.837338025459,-20061.7583754979,43773.4928229832,-0.0240130854018868
0.4,-481.833800316124,-20061.758015172,43773.4937178299,-0.0240129095937356
